Table 1,,,,,,,,,,,,,,,,
Timestamp,Gender,Age Range,What Social Media Platforms do you use?,How much time did you spend in Social media during the Lockdown?,Do you talk about your mental health on Social media?,Which Social Media Platform do you think is the most helpful while talking about Mental health?,Which Social Media Platform do you think is the least helpful while talking about Mental health?,Have you faced a Mental health Issue?,How do you prefer to talk about your mental health?,Have you received support from friends because of something you posted on Social Media?,With whom do you talk on social media regarding your mental health?,"Overall, do you feel Social Media has a positive or Negative effect on your mental health?",Did you come across any social media status that your friend has posted relating to his/her mental health during the Lockdown?,"If yes, then did you lend any support to such person?",Have you come across any suicidal status or any such status that any of your friend's have posted where he/she intends to do some harm to himself/herself during the Lockdown?,"If yes, then did you lend any support to such person?"
4/7/21 13:07,Male,18-21 years old,"Facebook, Whatsapp, Instagram, Discord, YouTube",2-3 hours,No,YouTube,Instagram,No,Face to Face,I haven't posted anything on social media regarding to my mental health,I don't talk to anyone,No effect,Yes,No,No,No
4/7/21 13:15,Male,18-21 years old,"Whatsapp, Snapchat, Telegram, YouTube",3-6 hours,Yes,YouTube,Facebook,No,Face to Face,I haven't posted anything on social media regarding to my mental health,Anyone,No effect,Yes,Yes,No,No
4/7/21 13:16,Female,22-30 years old,"Facebook, Whatsapp, Instagram, Snapchat, Telegram, YouTube",2-3 hours,No,Facebook,LinkedIn,No,Face to Face,I haven't posted anything on social media regarding to my mental health,I don't talk to anyone,No effect,Yes,Yes,No,No
4/7/21 13:20,Male,18-21 years old,"Facebook, Whatsapp, Instagram, Snapchat, Telegram, YouTube",2-3 hours,No,YouTube,Whatsapp,No,Face to Face,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),No effect,Yes,Yes,No,No
4/7/21 13:20,Male,18-21 years old,"Facebook, Whatsapp, Instagram, Snapchat",3-6 hours,No,YouTube,Instagram,No,Face to Face,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),Positive,No,Yes,No,Yes
4/7/21 13:23,Male,18-21 years old,"Facebook, Whatsapp, Instagram, YouTube",3-6 hours,No,Whatsapp,LinkedIn,Prefer not to say,I don't talk about it,Yes,Friends(Whom you know Offline),No effect,No,No,No,No
4/7/21 13:29,Female,22-30 years old,"Facebook, Whatsapp, Instagram, Snapchat, Telegram, Discord, YouTube",3-6 hours,No,Whatsapp,Facebook,Yes,I don't talk about it,Yes,Friends(Whom you know Offline),Negative,Yes,Yes,No,No
4/7/21 13:34,Male,18-21 years old,"Facebook, Whatsapp, Instagram, Snapchat, Telegram, YouTube",2-3 hours,No,YouTube,Whatsapp,No,Face to Face,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),No effect,Yes,Yes,No,No
4/7/21 13:40,Male,18-21 years old,"Whatsapp, Instagram, Discord, YouTube",3-6 hours,Yes,YouTube,LinkedIn,Yes,Face to Face,Yes,Friends(Whom you know Offline),No effect,No,No,No,No
4/7/21 13:42,Female,18-21 years old,"Facebook, Whatsapp, Snapchat, Discord, YouTube",3-6 hours,No,Facebook,Blogging sites,Prefer not to say,I don't talk about it,I haven't posted anything on social media regarding to my mental health,Online acquaintances(Whom you don't know Offline),Positive,Prefer not to say,Yes,No,Yes
